# 2025-10-07_09:38:40.617145 - Power data for run 10989526
# 2025-10-07_09:38:40.617145 - Tracking started
# timestamp                  reading-time[ns] cpu-0[uJ] cpu-0-core[uJ] cpu-1[uJ] cpu-1-core[uJ] cpu-0[W] cpu-0-core[W] cpu-1[W] cpu-1-core[W]
  2025-10-07_09:38:48.551687 825097 24659646472 268524870 18988420043 216729163 112.5314126584221 0.019662885424526492 109.94927015525685 1.524782829025616
  2025-10-07_09:38:48.651774 673907 24670909408 268526838 18999424540 216881774 113.1449114544348 0.03035270559960079 109.4413045505349 1.525780386757914
  2025-10-07_09:38:48.752325 440261 24682286261 268529890 19010428991 217035193 112.69868929391613 0.02319201863330184 110.24452568351548 1.5489748227685736
  2025-10-07_09:38:48.852316 87894 24693555149 268532209 19021452484 217190077 111.73135654690925 0.017951007092339825 110.16320091000519 1.519038336349673
  2025-10-07_09:38:48.955152 1968861 24705045094 268534055 19032781167 217346288 112.8215412527387 0.01710705617572463 109.05953596698562 1.513007550985176
  2025-10-07_09:38:49.055987 503458 24716421520 268535780 19043778249 217498853 112.45534334374734 0.026184095907872854 109.73590944390088 1.5196554747751359
  2025-10-07_09:38:49.156201 723573 24727691064 268538404 19054775269 217651143 112.69167798241523 0.019038892169734326 110.00818424847799 1.5192501317970526
  2025-10-07_09:38:49.257205 714930 24739073349 268540327 19065886511 217804593 112.2803974043198 0.022726016799292658 109.60875331564986 1.537425397877984
  2025-10-07_09:38:49.358542 711555 24750451575 268542630 19076993999 217960392 112.2790466230295 0.02143921019543633 110.67567862671736 1.5486541754973895
  2025-10-07_09:38:49.458919 380259 24761721790 268544782 19088103273 218115841 113.57030584634217 0.03951458016233838 110.68878704632527 2.0302773632551103
  2025-10-07_09:38:49.562020 88084 24773431023 268548856 19099515418 218325165 113.470162554746 0.06030936724140991 110.70442133439506 1.7655844635461968
  2025-10-07_09:38:49.662966 84649 24784885402 268554944 19110690606 218503394 112.95385646809366 0.03677661240144026 110.47037924775849 1.872937640890684
  2025-10-07_09:38:49.763356 98470 24796224827 268558636 19121780715 218691418 113.48518418813559 0.028295153581635847 110.76796183055777 1.9658770507427865
  2025-10-07_09:38:49.864752 87724 24807731709 268561505 19133012083 218890749 113.21053703187417 0.07632226686322285 111.65723866873915 1.6976184588415915
  2025-10-07_09:38:49.965299 84659 24819114726 268569179 19144238920 219061440 116.53886020245274 0.17143843575405188 118.24993374509188 1.8605621443238847
  2025-10-07_09:38:50.068899 81404 24831188137 268586940 19156489598 219254194 112.02689379985365 0.18159494645607246 112.32406915301846 2.279200451401147
  2025-10-07_09:38:50.168968 82276 24842398541 268605112 19167729740 219482271 120.47040053942936 0.5429910956415844 128.2648221558755 2.3508094638708945
  2025-10-07_09:38:50.269032 71509 24854453322 268659446 19180564464 219717503 118.35542718334854 0.5347875067140923 120.76545177177778 2.898198271786456
  2025-10-07_09:38:50.372456 75935 24866694144 268714756 19193054541 220017247 113.23893033473605 0.4839431095790537 113.02455399969301 3.205692159859812
  2025-10-07_09:38:50.472528 74423 24878026154 268763185 19204365098 220338046 112.88561068411815 0.08781548021037981 113.40949577526399 2.328039542787123
  2025-10-07_09:38:50.572601 86652 24889323009 268771973 19215714380 220571021 111.4969983842068 0.016477890829973762 109.93812791962628 0.6694343124080118
  2025-10-07_09:38:50.672614 76096 24900474136 268773621 19226709600 220637973 112.61621563892541 0.0163175934073805 109.84808030758053 0.6505653621438547
  2025-10-07_09:38:50.772690 71820 24911744320 268775254 19237702760 220703079 112.62068299084478 0.016322019185499057 109.87283657782689 0.6376182301901662
  2025-10-07_09:38:50.872739 63697 24923011895 268776887 19248695416 220766872 112.59924902140123 0.01691960459493687 109.8662381832602 0.6160514979596535
  2025-10-07_09:38:50.972800 67192 24934278738 268778580 19259688790 220828515 112.5779045456057 0.01631922148059649 109.8495865450787 0.6129651487785347
  2025-10-07_09:38:51.072867 79812 24945543964 268780213 19270681004 220889852 112.62132687333376 0.01647034442528412 109.86475288726736 0.6133204470211382
  2025-10-07_09:38:51.172925 72571 24956812699 268781861 19281673920 220951220 112.58591213649235 0.016469291008214815 109.85284928328203 0.6291309139145361
  2025-10-07_09:38:51.272990 73742 24968078611 268783509 19292666348 221014174 112.5870327603455 0.016310772017623307 109.9013122335907 0.6359002330841302
  2025-10-07_09:38:51.373047 72670 24979343684 268785141 19303662697 221077800 112.56246138263903 0.01647034442528412 108.76804582081799 0.6151493748304994
  2025-10-07_09:38:51.473105 72360 24990606529 268786789 19314545878 221139351 112.61373935964711 0.01768994644963374 109.88729885031738 0.6127117836391222
  2025-10-07_09:38:51.573162 67813 25001874303 268788559 19325540853 221200657 111.47361237270354 0.01616193196356379 109.89399091973286 0.6463173583746993
  2025-10-07_09:38:51.673212 72060 25013027229 268790176 19336535738 221265321 112.5959133563895 0.016317301223495825 109.83498202358994 0.6351556964308096
  2025-10-07_09:38:51.773290 76497 25024295583 268791809 19347527784 221328886 112.61588050636279 0.01630993742100873 109.82417287830098 0.6360176025799122
  2025-10-07_09:38:51.873352 78931 25035564119 268793441 19358516977 221392527 112.6636850114264 0.02471139648020145 109.87747505828371 0.6341991972075002
  2025-10-07_09:38:51.973387 69606 25046834410 268795913 19369508550 221455969 112.60252268447566 0.01632055757820755 109.84867595004233 0.6076884157901604
  2025-10-07_09:38:52.073444 68003 25058101177 268797546 19380499773 221516773 112.56363171915774 0.016620001407153456 109.84903482065188 0.6101029620580258
  2025-10-07_09:38:52.173505 70597 25069364312 268799209 19391491285 221577820 112.62181996054811 0.016320348798534497 109.84818018016865 0.6236811798974558
  2025-10-07_09:38:52.273564 72240 25080633154 268800842 19402482599 221640225 112.61576998989148 0.016314361756576926 109.88126503480396 0.6355803434333094
  2025-10-07_09:38:52.373598 70878 25091898623 268802474 19413474523 221703805 112.61893861962922 0.016929555141659797 109.8999561230703 0.6381562830995788
  2025-10-07_09:38:52.473660 72680 25103167465 268804168 19424471299 221767660 112.63980334699663 0.016621362210486452 108.77055411843571 0.6243355453038164
  2025-10-07_09:38:52.573712 69986 25114437299 268805831 19435354007 221830126 111.4769460894941 0.016471819435595503 109.8347916490754 0.643870228289822
  2025-10-07_09:38:52.673762 73101 25125590530 268807479 19446342941 221894545 112.55868164761685 0.021025509486550062 109.81177124884934 0.8080387964099416
  2025-10-07_09:38:52.773878 85871 25136859509 268809584 19457336909 221975443 112.63715456834798 0.01632506852330048 109.89306350337688 0.6484241240406097
  2025-10-07_09:38:52.873908 71029 25148126627 268811217 19468329535 222040305 112.65483432617124 0.022724764214325018 109.90032896420664 0.6362634049115083
  2025-10-07_09:38:52.973931 72059 25159394706 268813490 19479322100 222103946 112.61281528555273 0.016780076933704483 109.8272925322881 0.6229216290654358
  2025-10-07_09:38:53.073990 70357 25170662647 268815169 19490311324 222166275 112.59455959709152 0.016620086450833804 109.83663464416743 0.6125546234182234
  2025-10-07_09:38:53.174050 70938 25181928819 268816832 19501301539 222227567 112.60045670678672 0.016318094318385302 109.84200927003657 0.6209969206466961
  2025-10-07_09:38:53.274123 73292 25193197080 268818465 19512293754 222289712 112.6249180472048 0.016310605091467312 109.84696814634769 0.6307067129333502
  2025-10-07_09:38:53.374181 81264 25204466059 268820097 19523284778 222352819 112.58846534691463 0.016781150292581704 109.85748555641696 0.6383633527023188
  2025-10-07_09:38:53.474233 67002 25215730843 268821776 19534276320 222416689 112.67021759709357 0.017229634651793477 108.75051568976103 0.6082840563117228
  2025-10-07_09:38:53.574294 69256 25227004643 268823500 19545157914 222477554 111.52610660608603 0.016311481491905665 109.87848705891834 0.6336390883225144
  2025-10-07_09:38:53.674346 78890 25238163078 268825132 19556151501 222540951 112.62282194498177 0.0161720924936543 109.88199210114222 0.6583580892286908
  2025-10-07_09:38:53.774395 70768 25249430867 268826750 19567145073 222606819 112.60683536883336 0.016310438168727966 109.91294463533697 0.6279618636370613
  2025-10-07_09:38:53.874453 77418 25260698152 268828382 19578142811 222669652 112.59892603160834 0.021807662097091948 109.8912479275725 0.6340712678395071
  2025-10-07_09:38:53.974510 67753 25271964415 268830564 19589138153 222733095 112.64392688739586 0.016320348798534497 109.90291781052356 0.6223019954919458
  2025-10-07_09:38:54.074569 69646 25283235469 268832197 19600134944 222795362 112.588254002671 0.016619831322403696 109.872625532794 0.6160530740871505
  2025-10-07_09:38:54.174630 69355 25294501183 268833860 19611128929 222857005 112.58357763503801 0.018590344800249587 109.86457238490888 1.4135255077511646
  2025-10-07_09:38:54.274736 81193 25305771444 268835721 19622127002 222998507 112.67683567608029 0.01617503103046744 109.91950272876171 0.6490306177942136
  2025-10-07_09:38:54.374767 68504 25317042589 268837339 19633122329 223063430 112.63859004339193 0.018599001294594426 109.85778450055774 0.6322261267576805
  2025-10-07_09:38:54.474826 70227 25328313109 268839200 19644114604 223126690 112.63235519374867 0.01631880399495514 109.82710981649709 0.6333854469125821
  2025-10-07_09:38:54.574894 70307 25339584072 268840833 19655104850 223190072 112.86170943465021 0.01753124840079832 108.80616396294968 0.8648482677447418
  2025-10-07_09:38:54.674944 80282 25350875877 268842587 19665990898 223276600 111.51056455687296 0.016317885601729275 109.98391793932183 0.6711617295319954
